,JNJ,ABBV,LLY,MSFT,NVDA,AVGO,NEE,PLD,CCI,PSA
2017-01-02,,,,,,,,,,
2017-01-03,100.87544250488281,49.08750915527344,66.69693756103516,58.06544876098633,25.16644859313965,150.51210021972656,26.229787826538086,46.03889465332031,72.4195785522461,186.3323211669922
2017-01-04,100.70996856689453,49.7796516418457,66.80423736572266,57.8056526184082,25.75360679626465,149.44027709960938,26.307113647460938,46.85853958129883,72.85342407226562,187.69943237304688
2017-01-05,101.76367950439453,50.157188415527344,67.58203887939453,57.8056526184082,25.099836349487305,147.08558654785156,26.29164695739746,46.87596893310547,72.78668212890625,189.70016479492188
2017-01-06,101.27600860595703,50.17292404174805,67.6535873413086,58.306705474853516,25.43535614013672,149.03515625,26.214319229125977,47.181156158447266,71.3349609375,190.35870361328125
2017-01-09,101.25859069824219,50.503257751464844,68.19001770019531,58.12112808227539,26.466585159301758,149.35586547851562,26.14803695678711,46.82366180419922,71.52684783935547,189.05825805664062
2017-01-10,101.15410614013672,50.39314270019531,68.19001770019531,58.102569580078125,26.266756057739258,152.3941192626953,26.19886016845703,45.75116729736328,70.38382720947266,187.81614685058594
2017-01-11,99.9088363647461,48.57380676269531,67.28703308105469,58.631446838378906,25.943572998046875,151.42356872558594,26.382234573364258,45.559329986572266,71.08466339111328,183.19789123535156
2017-01-12,99.81304931640625,48.68503952026367,68.97679901123047,58.093292236328125,25.519235610961914,150.950927734375,26.402118682861328,45.942996978759766,71.06798553466797,181.14715576171875
2017-01-13,99.79562377929688,49.24911880493164,69.20032501220703,58.17678451538086,25.516769409179688,152.2928466796875,26.302701950073242,45.602928161621094,71.48514556884766,178.49620056152344
2017-01-16,99.79562377929688,49.24911880493164,69.20032501220703,58.17678451538086,25.516769409179688,152.2928466796875,26.302701950073242,45.602928161621094,71.48514556884766,178.49620056152344
2017-01-17,100.03075408935547,49.14583206176758,68.70858001708984,58.019065856933594,24.944412231445312,151.16195678710938,26.561195373535156,45.8034782409668,72.88680267333984,181.47225952148438
2017-01-18,99.88272094726562,48.98693084716797,69.31654357910156,57.99123001098633,25.398344039916992,156.1497344970703,26.519216537475586,46.08250427246094,72.75331115722656,179.72996520996094
2017-01-19,99.4472885131836,48.764488220214844,68.69963836669922,57.8056526184082,25.943572998046875,156.60548400878906,26.353513717651367,46.0040283203125,71.58525848388672,179.5049285888672
2017-01-20,99.40376281738281,48.58175277709961,68.67281341552734,58.21392059326172,25.65985870361328,161.26417541503906,26.34909439086914,45.83835220336914,72.43627166748047,181.70567321777344
2017-01-23,99.19477081298828,48.43080520629883,68.23472595214844,58.41803741455078,25.92630386352539,161.19668579101562,26.2430419921875,46.065059661865234,72.63651275634766,183.6063232421875
2017-01-24,97.322509765625,48.12891387939453,66.92046356201172,58.93763732910156,26.478923797607422,166.89340209960938,26.249670028686523,45.193119049072266,73.13711547851562,185.3903350830078
2017-01-25,98.22815704345703,48.764488220214844,66.92046356201172,59.08610534667969,26.5924072265625,170.8853302001953,26.296066284179688,45.158233642578125,72.73660278320312,182.48931884765625
2017-01-26,97.39218139648438,48.677101135253906,66.67906951904297,59.633541107177734,27.051284790039062,172.3115997314453,26.236419677734375,44.417076110839844,73.42912292480469,181.93911743164062
2017-01-27,98.73322296142578,47.668113708496094,67.3943099975586,61.034610748291016,27.574295043945312,173.611328125,26.815275192260742,42.943485260009766,72.46128845214844,180.53860473632812
2017-01-30,98.5155258178711,48.009742736816406,66.78633880615234,60.431495666503906,27.142560958862305,171.50985717773438,27.053884506225586,42.4987907409668,72.38621520996094,179.22149658203125
